time,T1Min,T1Max,T1Delta,H1Min,H1Max,H1Delta,T2Min,T2Max,T2Delta,H2Min,H2Max,H2Delta,T3Min,T3Max,T3Delta,H3Min,H3Max,H3Delta,T4Min,T4Max,T4Delta,H4Min,H4Max,H4Delta
2024-09-20 0:00,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 0:10,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 0:20,23.5,24.49,0,45.61,46.59,0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,-0.01,23.51,24.49,0,45.6,46.59,0
2024-09-20 0:30,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,0,23.51,24.49,0,45.6,46.59,0
2024-09-20 0:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.59,0
2024-09-20 0:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:40,23.5,24.48,-0.01,45.6,46.59,0,23.51,24.49,0,45.6,46.57,-0.02,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 1:50,23.5,24.48,0,45.6,46.59,0,23.51,24.49,0,45.6,46.57,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:00,23.51,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.02,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:10,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 2:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.48,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:40,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 3:50,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 4:00,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 4:10,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 4:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 4:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 4:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,-0.01,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0
2024-09-20 4:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0
2024-09-20 5:00,23.5,24.48,-0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.57,-0.02
2024-09-20 5:10,23.5,24.48,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.57,0
2024-09-20 5:20,23.5,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.02
2024-09-20 5:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 5:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.57,-0.02,23.5,24.49,0,45.6,46.58,-0.01,23.5,24.49,0,45.6,46.59,0
2024-09-20 5:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.57,0,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 6:00,23.5,24.49,0,45.6,46.58,-0.01,23.5,24.49,0,45.6,46.59,0.02,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.57,-0.02
2024-09-20 6:10,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.57,0
2024-09-20 6:20,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.02
2024-09-20 6:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 6:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 6:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 7:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,-0.01
2024-09-20 7:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,0
2024-09-20 7:20,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.01
2024-09-20 7:30,23.5,24.49,0,45.61,46.59,0,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 7:40,23.5,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 7:50,23.5,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:00,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:10,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:20,23.5,24.49,0,45.6,46.58,-0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:30,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:40,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 8:50,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:40,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 9:50,23.5,24.49,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:40,23.51,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 10:50,23.51,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:40,23.5,24.49,0,45.6,46.59,0,23.5,24.48,-0.01,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 11:50,23.5,24.49,0,45.6,46.59,0,23.5,24.48,0,45.6,46.59,0,23.51,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 12:00,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0.01,45.6,46.58,-0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 12:10,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.58,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 12:20,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0.01,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 12:30,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0
2024-09-20 12:40,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.6,46.59,0,23.5,24.49,0,45.61,46.59,0,23.5,24.48,-0.01,45.6,46.59,0
